Country,Region,Income category,Year MOU sign,MOU link,Comment
Afghanistan,South Asia,Low income,2016,,https://eng.yidaiyilu.gov.cn/zchj/sbwj/1425.htm
Albania,Europe & Central Asia,Upper middle income,2017,,
Algeria,Middle East & North Africa,Upper middle income,2018,,
Angola,Sub-Saharan Africa,Lower middle income,2018,,
Antigua and Barbuda,Latin America & Caribbean,High income,2018,https://eng.yidaiyilu.gov.cn/qwyw/rdxw/57191.htm,
Armenia,Europe & Central Asia,Upper middle income,2015,,
Austria,Europe & Central Asia,High income,NULL,,
Azerbaijan,Europe & Central Asia,Upper middle income,2015,,
Bahrain,Middle East & North Africa,High income,2018,http://www.xinhuanet.com/english/2018-07/10/c_137312832.htm,
Bangladesh,South Asia,Lower middle income,2016,https://thediplomat.com/2019/07/how-bangladesh-learned-to-love-the-belt-and-road/,Inconsistency with map (map says 2019)
Barbados,Latin America & Caribbean,High income,2019,https://www.foreign.gov.bb/featured/308-barbados-and-china-agree-to-deepen-cooperation ; http://www.xinhuanet.com/english/2019-04/08/c_137960709.htm,
Belarus,Europe & Central Asia,Upper middle income,2013,,
Benin,Sub-Saharan Africa,Low income,NULL,,
Bolivia,Latin America & Caribbean,Lower middle income,2018,https://www.beltroad-initiative.com/memorundum-of-understanding-belt-and-road-initiative/,https://news.cgtn.com/news/7a55544f35454464776c6d636a4e6e62684a4856/share_p.html
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2017,,
Brunei Darussalam,East Asia & Pacific,High income,2018,http://www.xinhuanet.com/english/2018-12/18/c_137683083.htm,
Bulgaria,Europe & Central Asia,Upper middle income,2015,,
Burundi,Sub-Saharan Africa,Low income,2018,,
Cabo Verde,Sub-Saharan Africa,Lower middle income,2018,,
Cambodia,East Asia & Pacific,Lower middle income,2013,,
Cameroon,Sub-Saharan Africa,Lower middle income,2015,,
Chad,Sub-Saharan Africa,Low income,2018,,
Chile,Latin America & Caribbean,High income,2018,https://eng.yidaiyilu.gov.cn/home/rolling/70834.htm,
China,East Asia & Pacific,Upper middle income,2013,,
Cook Islands,East Asia & Pacific,,2018,http://www.cookislands.gov.ck/images/Development/Cook_Islands-PRC_Belt_and_Road_MOU._signed_12_November_2018.pdf,
Comoros,Sub-Saharan Africa,Low income,NULL,,
Republic of Congo,Sub-Saharan Africa,Lower middle income,NULL,,
Costa Rica,Latin America & Caribbean,Upper middle income,2018,https://en.imsilkroad.com/p/109740.html,
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,2017,,
Croatia,Europe & Central Asia,High income,2017,,
Cuba,Latin America & Caribbean,Upper middle income,2019,https://news.cgtn.com/news/7849544e79494464776c6d636a4e6e62684a4856/share_p.html,2019?
Cyprus,Europe & Central Asia,High income,2018,,
Czech Republic,Europe & Central Asia,High income,2015,,
Djibouti,Middle East & North Africa,Lower middle income,2018,,
Dominica,Latin America & Caribbean,Upper middle income,2018,https://dominicanewsonline.com/news/homepage/news/dominica-expected-to-benefit-from-china-belt-and-road-initiative-through-mou-signed-in-2018/,
Ecuador,Latin America & Caribbean,Upper middle income,2018,https://www.chinadaily.com.cn/a/201812/13/WS5c116128a310eff303290ad7.html,
Egypt,Middle East & North Africa,Lower middle income,2016,,
El Salvador,Latin America & Caribbean,Lower middle income,2018,https://www.beltandroad.news/2019/03/18/el-salvador-china-relations-advance-rapidly-since-ties-established-official/,
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2019,,
Estonia,Europe & Central Asia,High income,2017,,
Ethiopia,Sub-Saharan Africa,Low income,2018,,
Fiji,East Asia & Pacific,Upper middle income,2018,http://www.xinhuanet.com/english/2018-11/12/c_137601722.htm,
Gabon,Sub-Saharan Africa,Upper middle income,2018,,
Gambia,Sub-Saharan Africa,Low income,2018,,
Georgia,Europe & Central Asia,Lower middle income,2016,,
Ghana,Sub-Saharan Africa,Lower middle income,2018,,
Greece,Europe & Central Asia,High income,2018,,
Grenada,Latin America & Caribbean,Upper middle income,2018,https://www.thegrenadainformer.com/news/item/4899-grenada-and-china-sign-a-memorandum-of-understanding-for-the-belt-and-road-initiative,
Guinea,Sub-Saharan Africa,Low income,2018,,
Guyana,Latin America & Caribbean,Upper middle income,2018,https://dpi.gov.gy/linden-lethem-road-may-be-realised-under-belt-and-road-initiative/#gsc.tab=0,
Hungary,Europe & Central Asia,High income,2015,,
Indonesia,East Asia & Pacific,Lower middle income,2015,,
Iran,Middle East & North Africa,Upper middle income,2018,,
Iraq,Middle East & North Africa,Upper middle income,2015,,
Italy,Europe & Central Asia,High income,2019,,
Jamaica,Latin America & Caribbean,Upper middle income,2019,https://www.beltandroad.news/2019/04/13/jamaica-endorses-belt-road-initiative/ ; http://jamaica-gleaner.com/article/commentary/20190415/editorial-china-jamaica-belt-and-road-mou,
Kazakhstan,Europe & Central Asia,Upper middle income,2015,,
Kenya,Sub-Saharan Africa,Lower middle income,2018,https://kenyanwallstreet.com/kenya-signs-silk-belt-road-agreement-with-china/,
Kiribati,East Asia & Pacific,Lower middle income,2020,http://www.xinhuanet.com/english/2020-01/06/c_138682716.htm,
Korea,East Asia & Pacific,High income,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjy9s_zienqAhVqSBUIHQUgCHcQFjAJegQIBRAB&url=http%3A%2F%2Fpresident.globalwindow.org%2Fcommon.FileDownload.do%3Bjsessionid%3Do2W46SOEYFWNmk8Gr6Yc1cnaJ4jC99fvMAoKM0o5qN7ZyTGzOKOiPd1ZMpf3XuRg.PRESIDENT-WASDB_servlet_pre2015%3Ffile_id%3DFILE_000000000011725&usg=AOvVaw3J_ODO6PCmBHnbu85ot2Fd,
Kuwait,Middle East & North Africa,High income,2019,https://www.beltandroad.news/2019/04/28/kuwait-china-sign-2-mou-on-fringe-of-belt-road-forum/,
Kyrgyz Republic,Europe & Central Asia,Lower middle income,2013,,
