ctr,country,pdi,idv,mas,uai,ltowvs,ivr
AFE,Africa East,64,27,41,52,32,40
AFW,Africa West,77,20,46,54,9,78
ALB,Albania,,,,,61.460957178841305,14.50892857142857
ALG,Algeria,,,,,25.944584382871536,32.36607142857142
AND,Andorra,,,,,,65
ARA,Arab countries,80,38,53,68,23,34
ARG,Argentina,49,46,56,86,20.403022670025187,61.83035714285714
ARM,Armenia,,,,,60.95717884130982,
AUL,Australia,38,90,61,51,21.158690176322416,71.42857142857142
AUT,Austria,11,55,79,70,60.45340050377833,62.72321428571428
AZE,Azerbaijan,,,,,60.705289672544076,21.65178571428571
BAN,Bangladesh,80,20,55,60,47.10327455919395,19.642857142857142
BLR,Belarus,,,,,80.8564231738035,14.9553571428571
BEL,Belgium,65,75,54,94,81.8639798488665,56.6964285714286
BEF,Belgium French,67,72,60,93,,
BEN,Belgium Netherl,61,78,43,97,,
BOS,Bosnia,,,,,69.77329974811083,44.19642857142857
BRA,Brazil,69,38,49,76,43.82871536523929,59.15178571428571
BUL,Bulgaria,70,30,40,85,69.0176322418136,15.848214285714285
BUF,Burkina Faso,,,,,27.455919395466,18.0803571428571
CAN,Canada,39,80,52,48,36.02015113350126,68.30357142857142
CAF,Canada French,54,73,45,60,,
CHL,Chile,63,23,28,86,30.982367758186395,68
CHI,China,80,20,66,30,87.4055415617128,23.6607142857143
COL,Colombia,67,13,64,80,13.09823677581864,83.03571428571428
COS,Costa Rica,35,15,21,86,,
CRO,Croatia,73,33,40,80,58.43828715365239,33.25892857142857
CYP,Cyprus,,,,,,69.86607142857142
CZE,Czech Rep,57,58,57,74,70.02518891687657,29.46428571428571
DEN,Denmark,18,74,16,23,34.76070528967254,69.64285714285714
DOM,Dominican Rep,,,,,13.09823677581864,54.24107142857142
ECA,Ecuador,78,8,63,67,,
EGY,Egypt,,,,,6.801007556675063,4.241071428571428
ETH,Ethiopia,,,,,,46
SAL,El Salvador,66,19,40,94,19.647355163728,88.8392857142857
EST,Estonia,40,60,30,60,82.11586901763224,16.294642857142854
FIN,Finland,33,63,26,59,38.287153652392945,57.36607142857142
FRA,France,68,71,43,86,63.47607052896725,47.76785714285714
GEO,Georgia,,,,,38.287153652392945,31.919642857142854
GER,Germany,35,67,66,65,82.87153652392946,40.40178571428571
GEE,Germany East,,,,,77.8337531486146,34.1517857142857
GHA,Ghana,,,,,3.526448362720403,72.32142857142857
GBR,Great Britain,35,89,66,35,51.1335012594458,69.4196428571428
GRE,Greece,60,35,57,112,45.34005037783375,49.55357142857142
GUA,Guatemala,95,6,37,101,,
HOK,Hong Kong,68,25,57,29,60.95717884130982,16.96428571428571
HUN,Hungary,46,80,88,82,58.186397984886646,31.47321428571428
ICE,Iceland,,,,,27.95969773299748,66.74107142857142
IND,India,77,48,56,40,50.8816120906801,26.1160714285714
IDO,Indonesia,78,14,46,48,61.96473551637279,37.723214285714285
IRA,Iran,58,41,43,59,13.602015113350125,40.40178571428571
IRQ,Iraq,,,,,24.9370277078086,16.7410714285714
IRE,Ireland,28,70,68,35,24.43324937027708,64.95535714285714
ISR,Israel,13,54,47,81,37.531486146095716,
ITA,Italy,50,76,70,75,61.460957178841305,29.687499999999996
JAM,Jamaica,45,39,68,13,,
JPN,Japan,54,46,95,92,87.9093198992443,41.7410714285714
JOR,Jordan,,,,,16.120906801007557,43.08035714285714
KOR,Korea South,60,18,39,85,100,29.46428571428571
KYR,Kyrgyz Rep,,,,,65.99496221662469,39.285714285714285
LAT,Latvia,44,70,9,63,68.76574307304786,12.94642857142857
LIT,Lithuania,42,60,19,65,81.86397984886649,15.624999999999998
LUX,Luxembourg,40,60,50,70,63.979848866498735,56.02678571428571
MAC,Macedonia Rep,,,,,61.71284634760705,35.26785714285714
MAL,Malaysia,104,26,50,36,40.806045340050375,57.14285714285714
MLI,Mali,,,,,20.151133501259444,42.63392857142857
MLT,Malta,56,59,47,96,47.10327455919395,65.625
MEX,Mexico,81,30,69,82,24.1813602015113,97.3214285714286
MOL,Moldova,,,,,71.0327455919395,19.1964285714286
MNG,Montenegro,,,,,75.31486146095718,19.866071428571427
MOR,Morocco,70,46,53,68,14.105793450881611,25.44642857142857
NET,Netherlands,38,80,14,53,67.00251889168766,68.30357142857142
NZL,New Zealand,22,79,58,49,32.7455919395466,74.5535714285714
NIG,Nigeria,,,,,12.846347607052897,83.92857142857142
NOR,Norway,31,69,8,50,34.5088161209068,55.13392857142857
PAK,Pakistan,55,14,50,70,49.87405541561713,0
PAN,Panama,95,11,44,86,,
PER,Peru,64,16,42,87,25.188916876574307,46.20535714285714
PHI,Philippines,94,32,64,44,27.455919395465994,41.96428571428571
POL,Poland,68,60,64,93,37.78337531486146,29.241071428571427
POR,Portugal,63,27,31,104,28.211586901763223,33.25892857142857
PUE,Puerto Rico,,,,,0,89.95535714285714
ROM,Romania,90,30,42,90,51.88916876574307,19.866071428571427
RUS,Russia,93,39,36,95,81.360201511335,19.866071428571427
RWA,Rwanda,,,,,18.387909319899244,37.27678571428571
SAU,Saudi Arabia,,,,,35.51637279596977,52.232142857142854
SER,Serbia,86,25,43,92,52.141057934508815,28.124999999999996
SIN,Singapore,74,20,48,8,71.53652392947103,45.535714285714285
SLK,Slovak Rep,104,52,110,51,76.57430730478589,28.348214285714285
SLV,Slovenia,71,27,19,88,48.614609571788414,47.544642857142854
