Country (length),length,Country (dw),dw,Country (de),de,Country (de_min_max),de_min_max,Country (di),di,Country (di_min_max),di_min_max
Russia,0.4112913009367481,Romania,0.3883746760459089,Russia,0.4273725780575096,Russia,0.4268912748364803,Russia,0.5062014068863384,Russia,0.5057844058649861
China,0.34424485806435845,Turkey,0.37911884487226954,Iran,0.3518046600494573,Iran,0.34709816079679096,China,0.34800501238857406,China,0.3492471923978774
Ukraine,0.22381267030743254,Bulgaria,0.3780081451314328,Latvia,0.3201900530667654,Latvia,0.31828952239911146,Iran,0.31156670368999145,Hungary,0.3104163596951671
Iraq,0.21732691595705295,Iran,0.37282487967419475,Poland,0.31667257611118627,Poland,0.315900351254904,Hungary,0.3016590766533457,Iran,0.31033129453757985
Turkey,0.20352537689362837,Hungary,0.27434283598667164,Lithuania,0.3087745279526102,Lithuania,0.3087745279526102,Kazakhstan,0.27880202195270687,Kazakhstan,0.26087144785774924
Iran,0.20144034809627082,Pakistan,0.26804887078859685,China,0.24679167863376777,Azerbaijan,0.24017479907890874,Bulgaria,0.2523509811181044,Bulgaria,0.2522033764378648
Germany,0.16964246416301212,India,0.2606442058496853,Kazakhstan,0.23789051457722415,Kazakhstan,0.23125862064218225,Turkey,0.2488430211032951,Turkey,0.24801357019326395
Poland,0.16570942427106805,Iraq,0.2180673824509441,Azerbaijan,0.2374828039467793,China,0.22828104060980775,Azerbaijan,0.2395409107737875,Azerbaijan,0.2395409107737875
Kazakhstan,0.14698587879490377,Austria,0.20066641984450204,Germany,0.23031433313135483,Germany,0.2273161874894349,Ukraine,0.22365372673088227,Iraq,0.2165864494631618
Thailand,0.12819326175490559,Myanmar,0.18252499074416884,Iraq,0.2239911144020733,Iraq,0.2228804146612366,Iraq,0.2165864494631618,Ukraine,0.2060659213842131
Hungary,0.12082955102697245,Russia,0.15327656423546834,Slovakia,0.18311192189069428,Slovakia,0.21061216477211633,Germany,0.19116722310805914,Germany,0.19606258637080556
Malaysia,0.10551647537948908,Thailand,0.14698259903739355,India,0.17807187841193556,Czech Republic,0.19047985046171995,Slovakia,0.18597941506972748,Myanmar,0.1909971615451068
Mongolia,0.1018063103276641,Ukraine,0.10995927434283599,Laos,0.1642910033320992,India,0.16159006364485817,Kuwait,0.17869924719239788,Austria,0.1698187514404275
Bulgaria,0.10128245650002299,Germany,0.10810810810810811,Pakistan,0.15118612061623488,Pakistan,0.14715964185142272,Myanmar,0.17220165370850304,Romania,0.15929354468032955
Serbia,0.09097658169978881,Malaysia,0.10551647537948908,Bulgaria,0.13761689916000958,Laos,0.13862766876465507,Saudi Arabia,0.17191163766506234,Saudi Arabia,0.15753424657534246
Belarus,0.09064273379341872,Serbia,0.08367271380970011,Thailand,0.12773047019622363,Hungary,0.12821184039455594,Romania,0.15743563983859626,Kuwait,0.14994446501295816
Myanmar,0.08795706426649218,China,0.08330248056275454,Hungary,0.12758704995352332,Thailand,0.12773047019622363,India,0.13601926478638807,Slovakia,0.14694213436356873
Austria,0.08320279518909657,Jordan,0.07922991484635321,Turkey,0.11299518696778971,Myanmar,0.12190238183388871,Thailand,0.12773047019622363,India,0.14194423475245393
Pakistan,0.08020414285523071,Saudi Arabia,0.07885968159940764,Myanmar,0.1119153399975318,Bulgaria,0.11548275117128759,Austria,0.12244616329857655,Thailand,0.12773047019622363
Saudi Arabia,0.07978526471677157,Switzerland,0.06738245094409478,Czech Republic,0.10912467915465586,Turkey,0.11352361078388476,Mongolia,0.11856719733432063,Mongolia,0.12467604590892263
Jordan,0.07904479822288042,Belarus,0.0640503517215846,Malaysia,0.10551647537948908,Malaysia,0.10551647537948908,Czech Republic,0.11506113444691901,Malaysia,0.10551647537948908
Laos,0.0781901005108096,Mongolia,0.05775638652350981,Serbia,0.10529293067568653,Kuwait,0.10255460940392448,Poland,0.10760285477264973,Czech Republic,0.08572816041389772
Azerbaijan,0.06582032883402744,France,0.053313587560162905,Saudi Arabia,0.079415031469826,Turkmenistan,0.09030017762894475,Malaysia,0.10551647537948908,Jordan,0.07950758978156239
Afghanistan,0.05877707565862278,Afghanistan,0.05220288781932618,Jordan,0.07922991484635321,France,0.07934979989774511,Jordan,0.079415031469826,Poland,0.058895732207577496
France,0.05511010031557977,Turkmenistan,0.0518326545723806,France,0.07910650376403801,Jordan,0.07904479822288042,Macedonia,0.07759471800567692,Serbia,0.058142046155744795
Romania,0.05378829953769517,Poland,0.048870788596816,Romania,0.07061060883856754,Saudi Arabia,0.07885968159940764,Kyrgyzstan,0.05562062325760959,Kyrgyzstan,0.05745774906733812
Greece,0.03688992627348791,Slovakia,0.044427989633469084,Turkmenistan,0.06324669532329909,Serbia,0.07533346801551566,France,0.05380723188942368,Armenia,0.05458342337874973
India,0.035899848107744964,Laos,0.044427989633469084,Kuwait,0.05109218807848945,Romania,0.052217196778564956,Serbia,0.05340306059484144,France,0.054146612365790464
Georgia,0.03222090756337331,Macedonia,0.04072565716401333,Belgium,0.05035789213871406,Belgium,0.047868514306870474,Armenia,0.04809946933234605,Macedonia,0.05007404664938911
Spain,0.02702702702702703,Indonesia,0.02702702702702703,Finland,0.04501419227446615,Kyrgyzstan,0.04773751742929825,Belarus,0.04065836050782839,Belarus,0.04043877657092805
Indonesia,0.02702702702702703,Spain,0.02702702702702703,Macedonia,0.03893951626626887,Finland,0.042638528939898786,Norway,0.03887449092928545,Belgium,0.03884363815870665
Slovakia,0.02690388101347006,Israel,0.026656793780081452,Kyrgyzstan,0.03603487883083583,Macedonia,0.042009313620705147,Belgium,0.037054177465136375,Norway,0.03711588300629397
Turkmenistan,0.023886588955082114,Finland,0.026656793780081452,Indonesia,0.02702702702702703,Croatia,0.03532880493046319,Indonesia,0.02702702702702703,Latvia,0.033611947939103465
Israel,0.013328396890040726,Kosovo,0.026286560533135876,Spain,0.02702702702702703,Spain,0.02702702702702703,Spain,0.02702702702702703,Lithuania,0.028210567481316878
Palestine,0.013328396890040726,Kazakhstan,0.02184376156978897,Palestine,0.026656793780081452,Indonesia,0.02702702702702703,Palestine,0.02684191040355424,Spain,0.02702702702702703
Norway,0.013328396890040726,Azerbaijan,0.020362828582006665,Croatia,0.024695112245474854,Palestine,0.026656793780081452,Lithuania,0.026832905470127965,Indonesia,0.02702702702702703
Finland,0.013328396890040726,Uzbekistan,0.018881895594224363,Ukraine,0.024635574333398667,Ukraine,0.024348053734637137,Latvia,0.025039693125427656,Palestine,0.026934468715290635
Croatia,0.012347321452881487,Latvia,0.018511662347278787,Uzbekistan,0.023803276559863116,Belarus,0.021982015686689338,Laos,0.02382142416388992,Laos,0.02224484758731334
Vietnam,0.01175490559052203,Lithuania,0.01629026286560533,Afghanistan,0.016660496112550906,Vietnam,0.020208564729112675,Tajikistan,0.02328542225802499,Vietnam,0.016928915216586456
Latvia,0.01078992585841901,Armenia,0.01295816364309515,Vietnam,0.01622855732444774,Austria,0.01722574998159205,Pakistan,0.02166434084242303,Pakistan,0.016129721609173663
Macedonia,0.010724734354871339,Czech Republic,0.0074046649389115145,Tajikistan,0.013503726321667676,Afghanistan,0.016660496112550906,Qatar,0.011230408490682488,Qatar,0.01283475256077995
Albania,0.009274322801720065,Tajikistan,0.006293965198074788,Austria,0.013044937060348014,Uzbekistan,0.01664424780863137,Uzbekistan,0.008210747251843141,Albania,0.010628779464395903
Switzerland,0.006986435753559041,Georgia,0.0037023324694557573,Albania,0.011624088900478908,Montenegro,0.014669002412333342,Croatia,0.007034431691965938,Tajikistan,0.01021392322762186
Italy,0.006393181050715298,Montenegro,0.002961865975564606,Bhutan,0.010330720132598002,Bhutan,0.014402293683115595,Turkmenistan,0.005974672926727721,Uzbekistan,0.009462437887095422
Kyrgyzstan,0.005300078587749818,Cambodia,0.0022213994816734544,Sweden,0.010150561520424548,United Arab Emirates,0.01388374676045909,Vietnam,0.004930272738491915,Croatia,0.007034431691965938
Montenegro,0.00470135812601566,Kyrgyzstan,0.001480932987782303,Belarus,0.009641360251076295,Tajikistan,0.013135366731257148,Afghanistan,0.004813032210292485,Turkmenistan,0.006173606002373127
Uzbekistan,0.00408538764703148,Belgium,0.001480932987782303,United Arab Emirates,0.006479081821547575,Sweden,0.011970874984573629,Oman,0.003918301863507342,Afghanistan,0.004813032210292485
Lithuania,0.0033409142998184096,Albania,0.0011106997408367272,Montenegro,0.0044584359048500865,Georgia,0.010147476243366656,Albania,0.0020517092434900654,Oman,0.003393804763667778
Tajikistan,0.0033094738574190627,United Arab Emirates,0.00037023324694557573,Georgia,0.0028415401703072935,Albania,0.0052696615692289775,Montenegro,0.0010058003208688142,Montenegro,0.0011106997408367272
Kosovo,0.001996958161341723,Sweden,0.0,Kosovo,0.0,Lebanon,0.00018511662347278786,Kosovo,0.0007404664938911515,Kosovo,0.0007404664938911515
Czech Republic,0.001487985049628885,Netherlands,0.0,East Timor,0.0,Israel,0.0,Brunei,0.0,Bhutan,0.0
Cambodia,0.0011106997408367272,East Timor,0.0,Bosnia and Herzegovina,0.0,Estonia,0.0,Georgia,0.0,Hong Kong,0.0
Belgium,0.0008330248056275454,Luxembourg,0.0,Oman,0.0,Greece,0.0,Moldova,0.0,Moldova,0.0
Armenia,0.0006570438077287393,Croatia,0.0,Greece,0.0,Kosovo,0.0,Cambodia,0.0,Greece,0.0
United Arab Emirates,0.00018511662347278786,Kuwait,0.0,Israel,0.0,East Timor,0.0,Greece,0.0,Cambodia,0.0
Lebanon,0.00018511662347278786,Bangladesh,0.0,Lebanon,0.0,Cambodia,0.0,Lebanon,0.0,Lebanon,0.0
Hong Kong,0.0,Lebanon,0.0,Cambodia,0.0,Moldova,0.0,Israel,0.0,Israel,0.0
East Timor,0.0,Palestine,0.0,Moldova,0.0,Norway,0.0,United Arab Emirates,0.0,United Arab Emirates,0.0
Moldova,0.0,Moldova,0.0,Norway,0.0,Bosnia and Herzegovina,0.0,East Timor,0.0,East Timor,0.0
Luxembourg,0.0,Norway,0.0,Qatar,0.0,Portugal,0.0,Sweden,0.0,Georgia,0.0
Netherlands,0.0,Portugal,0.0,Estonia,0.0,Bangladesh,0.0,Finland,0.0,Sweden,0.0
Kuwait,0.0,Estonia,0.0,Portugal,0.0,Oman,0.0,Bhutan,0.0,Switzerland,0.0
Bangladesh,0.0,Bosnia and Herzegovina,0.0,Denmark,0.0,Denmark,0.0,Estonia,0.0,Finland,0.0
Qatar,0.0,Qatar,0.0,Nepal,0.0,Qatar,0.0,Portugal,0.0,Estonia,0.0
Macao,0.0,Denmark,0.0,Mongolia,0.0,Nepal,0.0,Switzerland,0.0,Portugal,0.0
Sweden,0.0,Vietnam,0.0,Macao,0.0,Mongolia,0.0,Denmark,0.0,Italy,0.0
Bosnia and Herzegovina,0.0,Nepal,0.0,Armenia,0.0,Macao,0.0,Italy,0.0,Denmark,0.0
Oman,0.0,Macao,0.0,Hong Kong,0.0,Armenia,0.0,Nepal,0.0,Luxembourg,0.0
Estonia,0.0,Oman,0.0,Switzerland,0.0,Switzerland,0.0,Luxembourg,0.0,Nepal,0.0
Portugal,0.0,Italy,0.0,Brunei,0.0,Hong Kong,0.0,Macao,0.0,Netherlands,0.0
Denmark,0.0,Hong Kong,0.0,Italy,0.0,Italy,0.0,Netherlands,0.0,Macao,0.0
Brunei,0.0,Bhutan,0.0,Luxembourg,0.0,Brunei,0.0,Bangladesh,0.0,Bangladesh,0.0
Nepal,0.0,Greece,0.0,Netherlands,0.0,Luxembourg,0.0,Bosnia and Herzegovina,0.0,Bosnia and Herzegovina,0.0
Bhutan,0.0,Brunei,0.0,Bangladesh,0.0,Netherlands,0.0,Hong Kong,0.0,Brunei,0.0
Singapore,0.0,Singapore,0.0,Singapore,0.0,Singapore,0.0,Singapore,0.0,Singapore,0.0
