Country (db),db,Country (dgw),dgw,Country (dgl),dgl,Country (di),di,Country (de),de
Russia,0.43003168216095694,Romania,0.4032395566922421,Romania,0.40494458653026427,Russia,0.3294970161977835,Russia,0.43918726911054273
China,0.36332639223605084,Bulgaria,0.38235294117647056,Turkey,0.37809036658141515,Hungary,0.304024751183633,Poland,0.3317700886940811
Ukraine,0.24241664732457965,Turkey,0.3797953964194373,Iran,0.3640238704177323,Iran,0.29353154305200346,Latvia,0.33134413185564077
Iraq,0.2086530264279625,Iran,0.3657289002557545,Bulgaria,0.3554987212276215,Romania,0.28815976933192117,Kazakhstan,0.3234012107796433
Turkey,0.205781577641558,Hungary,0.2872975277067349,Hungary,0.3188405797101449,China,0.28137432509235577,Lithuania,0.3209718670076726
Germany,0.17890180795250749,Pakistan,0.2651321398124467,Pakistan,0.2693947144075021,Bulgaria,0.2782217959647627,Iran,0.3152529127593066
Poland,0.16863127697209945,India,0.2566069906223359,India,0.24936061381074168,Ukraine,0.2614116947541141,Germany,0.24527735739746634
Iran,0.1402613087395696,Austria,0.21184995737425405,Austria,0.20971867007672634,Turkey,0.22405157715260016,China,0.2419013393951138
Hungary,0.1393057845455247,Iraq,0.2092924126172208,Iraq,0.2092924126172208,Iraq,0.20801364023870417,Iraq,0.21412333049161694
Thailand,0.11135976129582267,Myanmar,0.17263427109974425,Myanmar,0.16709292412617222,Austria,0.19634303340926032,Slovakia,0.1920665297547072
Bulgaria,0.10596872324818447,Russia,0.15814151747655583,Russia,0.15942028985507245,Germany,0.195505758452207,India,0.17703818883065753
Austria,0.09490075928506803,Thailand,0.13171355498721227,Thailand,0.13171355498721227,India,0.18993025954343087,Turkmenistan,0.16905339701939173
Belarus,0.08981975237062606,Germany,0.11594202898550725,Germany,0.11807331628303495,Kazakhstan,0.17794574351479722,Laos,0.15688050582551863
Georgia,0.08660484560940247,Ukraine,0.10912190963341858,Poland,0.08908780903665814,Myanmar,0.17496447854504119,Pakistan,0.1449879244173564
Serbia,0.08617559264338975,Malaysia,0.08567774936061381,Malaysia,0.08567774936061381,Pakistan,0.17468758034614815,Hungary,0.13197468965237277
Malaysia,0.08567774936061381,Saudi Arabia,0.08439897698209718,Saudi Arabia,0.08439897698209718,Saudi Arabia,0.14879937482239272,Bulgaria,0.12877085616855435
Saudi Arabia,0.08525149190110827,Serbia,0.0792838874680307,Slovakia,0.07971014492753623,Slovakia,0.1275673053388201,Czech Republic,0.11808571684998241
Myanmar,0.08099077795369355,Switzerland,0.0711849957374254,Serbia,0.0792838874680307,Thailand,0.11082693947144075,Thailand,0.11082693947144075
Laos,0.0734769753311953,China,0.06564364876385337,Ukraine,0.07800511508951406,Malaysia,0.08567774936061381,Turkey,0.1053921568627451
Romania,0.0714789736774328,Belarus,0.06521739130434782,China,0.0733162830349531,Armenia,0.08120204603580561,Myanmar,0.10466041489059394
Pakistan,0.06229721410818146,Jordan,0.05711849957374254,Switzerland,0.0711849957374254,Poland,0.08014544308925563,Serbia,0.08814699792960659
France,0.05918686315105752,France,0.05711849957374254,Jordan,0.05711849957374254,Czech Republic,0.0676429949828119,Malaysia,0.08567774936061381
Jordan,0.05711849957374254,Turkmenistan,0.054987212276214836,France,0.05711849957374254,Kuwait,0.05985365160556976,Saudi Arabia,0.0850383631713555
